Source,Target,Weight
Thomas Morton,Longman,1
Thomas Morton,"Longman, Hurst, Rees; Orme",1
Thomas Nabbes,C. Greene,3
Thomas Nabbes,Laurence Blaikelocke,1
Thomas Otway,James Knapton,1
Thomas Otway,Joseph Hindmarsh,1
Thomas Otway,R. Bentley;S. Magnes,1
Thomas Otway,Richard Bentley,1
Thomas Otway,W. Mears; R. King,1
Thomas Otway,William Cademan,1
Thomas Randolph,J. Scott,1
Thomas Randolph,The Printers to the Universitie,1
Thomas Rawlins,D. Frere,1
Thomas Shadwell,F. Saunders;J. Knapton,1
Thomas Shadwell,Francis Saunders,1
Thomas Shadwell,Henry Herringman,1
Thomas Shadwell,T. Collins; John Ford,1
Thomas Sharp,Merridew,1
Thomas Southerne,H. Playford; B. Tooke,1
Tom Taylor,R. M. De Witt,1
Violet Hunt,Chapman; Hall,1
Virginia Vaughan,Chapman; Hall,1
Voltaire,J. Watts; B. Dod,1
W. G. Wills,Blackwood,1
W. Theodore Smith,George Redway,1
Walter Delaplaine Scull,Elkin Mathews,1
Walter Raleigh,D. Marples; Co.,1
Walter Scott,"Archibald Constable;Hurst,Robinson",2
Walter de Stapledon,Parker; Co.,1
Welbore Saint Clair Baddeley,Hardwicke; Bogue,1
West Digges,Remington; Co.,1
Whitelaw Ainslie,Richard Cruttwell,1
Wilhelm Gnapheus,In ædibus Tho. Berthelet,1
Wilhelmina Lydia Rooper,O. Newmann; Co.,1
Wilkie Collins,Charles Dickens; Evans,1
Wilkie Collins,the Author,3
William Akerman,G. Bell; Sons,1
William Arundell Harris,E. Maddox,1
William Bender Wilson,the Author,1
"William Cavendish, 4th Duke of Devonshire",Henry Herringman,1
William Chamberlaine,Robert Clavell,1
William Clark Russell,Chatto; Windus,1
William Congreve,Methuen; Co.,1
William Davenant,J. Waterson,1
William Dimond,J. Parker,2
William Dimond,"Longman, Hurst, Rees; Orme",1
William Dimond,Richard White; T. Earle,1
William Dimond,T. Cadell; W. Davies,1
William Dimond,W. H. Wyatt,1
William Gerard,Kegan Paul; Co.,1
William Gillette,Aldine Publishing Co.,1
William Heinemann,J. Lane,1
William Hemings,Richmond Gammon,1
William Henry Davenport Adams,Virtue; Co.,1
William Joseph Yeoman,"Digby, Long",1
William Kelly,J. Russell Smith,1
William Macbride Childs,Henry Richards,1
William Mason,James Knapton,1
William Mathie Beith,"Digby, Long",1
William Mountfort,Joseph Hindmarsh,1
William N. Richardson,J. Murray; S. Highley,1
William Outram Tristram,Ward; Downey,1
William Parr Isaacson,R. Ackermann,1
William Rider,Rob. Pollard; John Sweeting,1
William Roberton,R. A. Everett; Co.,1
William Rowley,T. Harper,1
William Shakespeare,C. Bathurst,2
William Shakespeare,C. Rice,1
William Shakespeare,G. Græbner,1
William Shakespeare,H. Garland,1
William Shakespeare,Heath; Robinson,1
William Shakespeare,J. Bell,1
William Shakespeare,J. Debrett,1
William Shakespeare,J. Parker,1
William Shakespeare,J. R. Tonson; S. Draper,1
William Shakespeare,J. Rivington; J. Fletcher,1
William Shakespeare,J. Russell Smith,1
William Shakespeare,J. Souter,1
William Shakespeare,J. Stockdale,1
William Shakespeare,Jacob Tonson,1
William Shakespeare,Joseph Hindmarsh,1
William Shakespeare,Richard Bentley,1
William Shakespeare,W. Wilkins,1
William Thomas Moncrieff,T. H. Lacy,1
William Whitehead,R. Dodsley,1
Z Z.,W. Heinemann,1
Zachariah Jackson,John Major,1
Zachariah Jackson,T. Harper,1
Édouard Constant,Noronha; Co.,1
